STT,query_id,query_text,product_id,product_name,product_price,product_specs,violates_hard_constraint,is_relevant,notes
1,A1,Tìm laptop dưới 15 triệu,174,"Laptop SingPC M16-i382 (i3 1215U, 8GB, 256GB, WUXGA, Win11 Pro)",14990000,"{""os"": ""Windows 11 Pro"", ""cpu"": ""Intel Core i3 Alder Lake - 1215U"", ""ram"": 8, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.1, ""battery"": 50.0, ""storage"": 256, ""material"": ""Vỏ bằng kim loại - Chiếu nghỉ tay bằng nhựa"", ""screen_size"": 14.0, ""refresh_rate"": 60}",,TRUE,
3,A2,Laptop RAM 16GB,162,"Laptop HP 15 fc0023AU - D0BH1PA (R5 7520U, 16GB, 512GB, Full HD, Win11)",22390000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""AMD Ryzen 5 - 7520U"", ""ram"": 16, ""vga"": ""Card tích hợp - AMD Radeon 610M Graphics"", ""weight"": 1.59, ""battery"": 41.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6}",,TRUE,
4,A2,Laptop RAM 16GB,164,"Laptop Asus Vivobook S14 S3407VA - LY146W (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",22590000,"{""os"": ""Windows 11 Home"", ""cpu"": ""Intel Core 5 Raptor Lake - 210H"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.4, ""battery"": 70.0, ""storage"": 512, ""material"": ""Vỏ bằng kim loại - Chiếu nghỉ tay bằng nhựa"", ""screen_size"": 14.0, ""refresh_rate"": 60}",,TRUE,
5,A2,Laptop RAM 16GB,165,"Laptop Dell 15 DC15255 - DC5R5973W1-2Y (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",24390000,"{""os"": ""Windows 11 Home + Office Home 2024 + Microsoft 365 Basic 1 năm"", ""cpu"": ""AMD Ryzen 5 - 7530U"", ""ram"": 16, ""vga"": ""Card tích hợp - AMD Radeon Graphics"", ""weight"": 1.65, ""battery"": 41.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 120}",,TRUE,
6,A2,Laptop RAM 16GB,166,"Laptop Lenovo IdeaPad Slim 3 15IPH11 - 83UR00A4VN (Ultra 5 322, 16GB, 512GB, WUXGA, Win11)",25090000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core Ultra 5 Panther Lake - 322"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.63, ""battery"": 60.0, ""storage"": 512, ""material"": ""Mặt lưng nhôm - Mặt dưới nhựa"", ""screen_size"": 15.3, ""refresh_rate"": 60}",,TRUE,
7,A2,Laptop RAM 16GB,167,"Laptop HP 240R G10 - C3RU7AT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",24090000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core 5 Raptor Lake - 120U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.402, ""battery"": 41.04, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 14.0}",,TRUE,
8,A2,Laptop RAM 16GB,168,"Laptop Dell 15 DC15250 - DC5I5897W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",23390000,"{""os"": ""Windows 11 Home + Office Home 2024 + Microsoft 365 Basic 1 năm"", ""cpu"": ""Intel Core i5 Raptor Lake - 1334U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.65, ""battery"": 41.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 120}",,TRUE,
9,A2,Laptop RAM 16GB,169,Laptop MacBook Air 13 inch M5 16GB/512GB/8GPU 70W,35290000,"{""os"": ""macOS Tahoe"", ""cpu"": ""Apple M5"", ""ram"": 16, ""vga"": ""Card tích hợp - 8 nhân GPU"", ""weight"": 1.23, ""battery"": 53.8, ""storage"": 512, ""material"": ""Vỏ nhôm tái chế 100%"", ""screen_size"": 13.6}",,TRUE,
10,A2,Laptop RAM 16GB,170,"Laptop MSI Modern 15 F1MG-1264VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",21090000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core thế hệ 12 - 120U"", ""ram"": 16, ""vga"": ""Card tích hợp"", ""weight"": 1.7, ""battery"": 46.8, ""storage"": 512, ""material"": ""Plastic (nhựa dẻo)"", ""screen_size"": 15.6}",,TRUE,
11,A2,Laptop RAM 16GB,171,"Laptop Asus Vivobook 16 A1607QA - MB067W (X1 26 100, 16GB, 512GB, WUXGA, Win11)",20590000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Snapdragon X - X1 26 100"", ""ram"": 16, ""vga"": ""Card tích hợp - Qualcomm Adreno GPU"", ""weight"": 1.88, ""battery"": 50.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 16.0, ""refresh_rate"": 60}",,TRUE,
12,A2,Laptop RAM 16GB,175,"Laptop Dell 15 DC15250 - 71092479 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365B, Win11)",23390000,"{""os"": ""Windows 11 Home + Microsoft Office Home 2024 vĩnh viễn + Microsoft 365 Basic 1 năm"", ""cpu"": ""Intel Core i5 Raptor Lake - 1334U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.65, ""battery"": 41.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 120}",,TRUE,
13,A2,Laptop RAM 16GB,176,"Laptop Acer Aspire Go 15 AG15-72P-500W - NX.JRRSV.007 (Core 5 120U, 16GB, 512GB, Full HD, Win11)",21090000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core 5 Raptor Lake - 120U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.53, ""battery"": 55.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 60}",,TRUE,
14,A2,Laptop RAM 16GB,177,"Laptop Asus Vivobook 15 X1504VA - BQ185WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",20090000,"{""os"": ""Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic"", ""cpu"": ""Intel Core 5 Raptor Lake - 120U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.7, ""battery"": 42.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 60}",,TRUE,
15,A2,Laptop RAM 16GB,178,"Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700YUVN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",22590000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""AMD Ryzen 5 - 7535HS"", ""ram"": 16, ""vga"": ""Card tích hợp - AMD Radeon 660M Graphics"", ""weight"": 1.59, ""battery"": 50.0, ""storage"": 512, ""material"": ""Nắp lưng và chiếu nghỉ tay bằng nhôm"", ""screen_size"": 15.3, ""refresh_rate"": 60}",,TRUE,
16,A2,Laptop RAM 16GB,179,Laptop MacBook Air 15 inch M5 16GB/512GB 70W,41790000,"{""os"": ""macOS Tahoe"", ""cpu"": ""Apple M5 - Hãng không công bố"", ""ram"": 16, ""vga"": ""Card tích hợp - 10 nhân GPU"", ""weight"": 1.51, ""battery"": 66.5, ""storage"": 512, ""material"": ""Vỏ nhôm tái chế 100%"", ""screen_size"": 15.3}",,TRUE,
17,A2,Laptop RAM 16GB,180,"Laptop MSI Modern 15 F13MG - 667VN_16GB (i5 1334U, 16GB, 512GB, Full HD, Win11)",19290000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core i5 Raptor Lake - 1334U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Iris Xe Graphics"", ""weight"": 1.7, ""battery"": 46.8, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 60}",,TRUE,
18,A2,Laptop RAM 16GB,195,"Laptop Asus Vivobook 15 X1504VA - BQ295W (Core 7 150U, 16GB, 512GB, Full HD, Win11)",23290000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core 7 Raptor Lake - 150U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.7, ""battery"": 42.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 60}",,TRUE,
19,A2,Laptop RAM 16GB,196,"Laptop HP Gaming VICTUS 15 fa2731TX - B85LNPA (i5 13420H, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",28890000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core i5 Raptor Lake - 13420H"", ""ram"": 16, ""vga"": ""Card rời - NVIDIA GeForce RTX 3050, 6 GB"", ""weight"": 2.29, ""battery"": 52.5, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 144}",,TRUE,
20,A2,Laptop RAM 16GB,197,"Laptop HP OmniBook 5 Flip 14 fp0057TU - BZ7Q6PA (Core 5 120U, 16GB, 512GB, WUXGA, Cảm ứng, OfficeH24, Win11)",26890000,"{""os"": ""Windows 11 Home SL + Office Home 2024"", ""cpu"": ""Intel Core 5 Raptor Lake - 120U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.638, ""battery"": 68.0, ""storage"": 512, ""material"": ""Vỏ kim loại"", ""screen_size"": 14.0}",,TRUE,
21,A2,Laptop RAM 16GB,199,"Laptop Dell 15 DC15250 - CPH99 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365B, Win11)",22890000,"{""os"": ""Windows 11 Home SL + Office Home & Student 2021 + Microsoft 365 Basic"", ""cpu"": ""Intel Core i5 Raptor Lake - 1334U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel UHD Graphics"", ""weight"": 1.65, ""battery"": 41.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 120}",,TRUE,
22,A2,Laptop RAM 16GB,200,"Laptop Asus TUF Gaming FA506NCQ - HN005W (R7 170, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",28590000,"{""os"": ""Windows 11 Home"", ""cpu"": ""AMD Ryzen 7 - 170"", ""ram"": 16, ""vga"": ""Card rời - NVIDIA GeForce RTX 3050, 4 GB"", ""weight"": 2.3, ""battery"": 48.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 144}",,TRUE,
23,A2,Laptop RAM 16GB,201,"Laptop Lenovo Gaming LOQ 15ARP10 - 83S000CNVN (R7 170, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",30890000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""AMD Ryzen 7 - 170"", ""ram"": 16, ""vga"": ""Card rời - NVIDIA GeForce RTX 3050, 6 GB"", ""weight"": 1.8, ""battery"": 57.5, ""storage"": 1024, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 144}",,TRUE,
24,A2,Laptop RAM 16GB,202,"Laptop Acer Aspire Go 15 AG15-52P-52WT - NX.JWKSV.001 (Ultra 5 115U, 16GB, 512GB, Full HD, Win11)",24090000,"{""os"": ""Windows 11 Home SL"", ""cpu"": ""Intel Core Ultra 5 Meteor Lake - 115U"", ""ram"": 16, ""vga"": ""Card tích hợp - Intel Graphics"", ""weight"": 1.59, ""battery"": 50.0, ""storage"": 512, ""material"": ""Vỏ nhựa"", ""screen_size"": 15.6, ""refresh_rate"": 60}",,TRUE,
